ObjectID,GlobalID,Sonde ID,Other SondeID,Discrete or Continuous Deployment,Pre- or Post-Deployment,Deployment Start/Stop Time,Calibration Date and Time,Verification Instruments,Which Turbidity standard?,Lot #,Expiration Date,Open Date,Turbidity Standard concentration,Lot #,Expiration Date,Open Date,Which SPC standard?,Lot #,Expiration Date,Open Date,Lot #,Expiration Date,Open Date,Lot #,Expiration Date,Open Date,Lot #,Expiration Date,Open Date,SpC Standard concentration,Lot #,Expiration Date,Open Date,Which pH standard?,Lot #,Expiration Date,Open Date,Lot #,Expiration Date,Open Date,Lot #,Expiration Date,Open Date,Which Rhodamine standard?,Lot #,Expiration Date,Open Date,Which fDOM standard?,Lot #,Expiration Date,Open Date,Specific Conductivity in Air,fDOM in DI (pre-cal),fDOM in DI (post-cal),fDOM in 300 QSU (pre-cal),fDOM in 300 QSU (post-cal),Chl in DI (pre-cal),Chl in DI (post-cal),Chl in rhodamine (pre-cal),Chl in rhodamine (post-cal),PC in DI (pre-cal),PC in DI (post-cal),PC in rhodamine (pre-cal),PC in rhodamine (post-cal),Turbidity in DI (pre-cal),Turbidity in DI (post-cal),Turbidity in standard (pre-cal),Turbidity in standard (post-cal),SpC in standard (pre-cal),SpC in standard (post-cal),SpC cell constant,pH in 7 (pre-cal),pH in 7 (post-cal),pH in 7 voltage,pH in 10 (pre-cal),pH in 10 (post-cal),pH in 10 voltage,pH in 4 (pre-cal),pH in 4 (post-cal),pH in 4 voltage,Delta slope (4 to 7),Delta slope (4 to 7),Delta slope (7 to 10),Delta slope (7 to 10),Temperature (NIST),Temperature (sonde),DO (pre-cal),DO (post-cal),DO (concentration post-cal),DO gain,Temperature during DO calibration,Pressure from handheld,Pressure from barometer,CreationDate,Creator,EditDate,Editor,Notes,x,y
32,d43dee91-9e3e-41a5-8a3f-88e0e5ab2a83,19C101551,,Continuous,Pre,9/22/2022 10:03:00 PM,9/20/2022 8:44:00 PM,other,turb_124,21L21430190,11/1/2022 7:00:00 PM,8/1/2022 7:00:00 PM,,,,,spc_other,,,,,,,,,,,,,1413,Oakton #CC21863,10/1/2022 7:00:00 PM,9/20/2022 7:00:00 PM,,,,,,,,,,,rhod_none,,,,fdom_none,,,,2.1,0,0,,,0,0,,,0.01,0,,,-0.05,0,124.13,124,1412.9,1413,5.23,,,,,,,,,,,,,,,,100.5,99.7,8.8,1.05,21.453,757.4,,7/5/2023 11:57:49 PM,cdfw_frpmt,7/6/2023 6:23:14 PM,cdfw_frpmt,,0,0
33,0dbb6c88-de7b-4bdf-869e-4aaab6005ddd,19C101553,,Continuous,Post,9/22/2022 7:24:00 PM,9/23/2022 7:59:00 PM,other,turb_124,21L21430190,11/1/2022 7:00:00 PM,8/11/2022 7:00:00 PM,,,,,spc_other,,,,,,,,,,,,,12890,VWR A9003,7/1/2020 7:00:00 PM,9/23/2022 7:00:00 PM,,,,,,,,,,,rhod_none,,,,fdom_none,,,,0.3,-0.04,0,,,-0.01,0,,,0.09,0,,,-0.01,0,124.01,124,12711.5,12890,5.26,,,,,,,,,,,,,,,,100,99.5,,1.03,22.334,757.6,,7/6/2023 6:06:34 PM,cdfw_frpmt,7/6/2023 6:06:34 PM,cdfw_frpmt,DO calibration performed in water saturated air; firmware was updated,0,0
34,7e2a9ce2-3830-445e-8456-dfe4aaccde4d,19C101554,,Continuous,Post,9/22/2022 9:14:00 PM,9/23/2022 7:36:00 PM,other,turb_124,21L21430190,11/1/2022 7:00:00 PM,8/11/2022 7:00:00 PM,,,,,spc_other,,,,,,,,,,,,,1413,Oakton #CC21863,10/1/2022 7:00:00 PM,9/23/2022 7:00:00 PM,,,,,,,,,,,rhod_none,,,,fdom_none,,,,0.1,0.02,0,,,0,0,,,0.09,0,,,0.02,0,123.67,124,1415,1413,5.24,,,,,,,,,,,,,,,,99.1,99.6,,1.07,21.122,757.6,,7/6/2023 6:11:31 PM,cdfw_frpmt,7/6/2023 6:11:31 PM,cdfw_frpmt,DO calibrated in water saturated air; firmware was updated,0,0
35,f028b9df-90bb-4935-8195-7aa23f24f53c,19C101552,,Continuous,Post,10/24/2022 9:26:00 PM,10/25/2022 11:47:00 PM,other,turb_124,21L21430190,11/1/2022 7:00:00 PM,10/24/2022 7:00:00 PM,,,,,spc_other,,,,,,,,,,,,,12890,VWR A8080,11/1/2019 7:00:00 PM,10/24/2022 7:00:00 PM,,,,,,,,,,,rhod_none,,,,fdom_none,,,,,-0.05,0,,,-0.07,0,,,-0.33,0,,,-0.01,0,123.74,124,12876.3,12890,5.25,,,,,,,,,,,,,,,,100.9,100.3,9.18,1.02,19.581,761,,7/6/2023 6:19:49 PM,cdfw_frpmt,7/6/2023 6:19:49 PM,cdfw_frpmt,First time calibrating this sonde with DI from new DI system,0,0
36,d6ae3afc-8293-4602-85bd-2e63c3f8ba49,19C101551,,Continuous,Post,10/24/2022 7:45:00 PM,10/25/2022 11:59:00 PM,other,turb_124,21L21430190,11/1/2022 7:00:00 PM,10/24/2022 7:00:00 PM,,,,,spc_other,,,,,,,,,,,,,1413,Oakton #CC21863,10/1/2022 7:00:00 PM,10/24/2022 7:00:00 PM,,,,,,,,,,,rhod_none,,,,fdom_none,,,,,-0.04,0,,,-0.02,0,,,-0.05,0,,,-0.04,0,123.4,124,1410.1,1413,5.25,,,,,,,,,,,,,,,,100.4,100.1,9.18,1.05,19.583,761,,7/6/2023 6:26:46 PM,cdfw_frpmt,7/6/2023 6:26:46 PM,cdfw_frpmt,First time calibrating sonde with DI from new DI system,0,0
37,978cac0e-4fdb-45ce-88c8-99617972d4bc,19C101553,,Continuous,Pre,10/24/2022 10:05:00 PM,10/24/2022 3:40:00 PM,other,turb_124,21L21430190,11/1/2022 7:00:00 PM,10/24/2022 7:00:00 PM,,,,,spc_other,,,,,,,,,,,,,12890,VWR A8080,9/1/2019 7:00:00 PM,10/24/2022 7:00:00 PM,,,,,,,,,,,rhod_none,,,,fdom_none,,,,0,0.02,0,,,-0.02,0,,,-0.22,0,,,-0.06,0,123.87,124,12923.2,12890,5.25,,,,,,,,,,,,,,,,100,100.8,9.02,1.04,20.762,765.9,,7/6/2023 6:33:20 PM,cdfw_frpmt,7/6/2023 6:33:20 PM,cdfw_frpmt,First time calibrating sonde with DI from new DI system,0,0
38,37f9da7a-efc3-4872-8ebb-7d8d709ff703,19C101554,,Continuous,Pre,10/24/2022 8:18:00 PM,10/24/2022 4:26:00 PM,other,turb_124,21L21430190,11/1/2022 7:00:00 PM,10/24/2022 7:00:00 PM,,,,,spc_other,,,,,,,,,,,,,1413,Oakton #CC21863,10/1/2022 7:00:00 PM,10/24/2022 7:00:00 PM,,,,,,,,,,,rhod_none,,,,fdom_none,,,,-0.1,-0.07,0,,,-0.01,0,,,-0.16,0,,,-0.07,0,123.63,124,1408.1,1413,5.26,,,,,,,,,,,,,,,,100,100.7,9.02,1.07,20.762,765.9,,7/6/2023 6:39:01 PM,cdfw_frpmt,7/6/2023 6:39:01 PM,cdfw_frpmt,First time calibrating sonde with DI from new DI system,0,0
39,776bbe06-5159-4325-8031-d98c5ba44dd5,19C101553,,Continuous,Post,12/15/2022 7:01:00 PM,12/16/2022 9:20:00 PM,other,turb_124,21L21430190,11/1/2022 7:00:00 PM,10/24/2022 7:00:00 PM,,,,,spc_other,,,,,,,,,,,,,1413,Oakton #CC21863,10/1/2022 7:00:00 PM,12/16/2022 7:00:00 PM,,,,,,,,,,,rhod_none,,,,fdom_none,,,,1.6,-0.01,0,,,0,0,,,0.45,0,,,0.09,0,123.9,124,1419.7,1413,5.22,,,,,,,,,,,,,,,,98.8,100.2,10.56,1.05,13.094,762.5,,7/6/2023 6:47:02 PM,cdfw_frpmt,7/6/2023 8:16:36 PM,cdfw_frpmt,Conductivity cell wasn't totally dry for measurement in Air; Accidentally used 1413 standard for SPC instead of 12890 standard; Phycocyanin channel is acting weird,0,0
40,29dd8b04-39e8-4292-8bac-04b7884091f4,19C101554,,Continuous,Post,12/12/2022 5:32:00 PM,12/13/2022 10:37:00 PM,other,turb_124,21L21430190,11/1/2022 7:00:00 PM,10/24/2022 7:00:00 PM,,,,,spc_other,,,,,,,,,,,,,1413,Oakton #CC21863,10/1/2022 7:00:00 PM,10/24/2022 7:00:00 PM,,,,,,,,,,,rhod_none,,,,fdom_none,,,,0.1,-0.01,0,,,0,0,,,-0.01,0,,,0,0,124.33,124,1410.5,1413,5.27,,,,,,,,,,,,,,,,101.6,100.5,9.08,1.06,20.275,763.8,,7/6/2023 7:45:32 PM,cdfw_frpmt,7/6/2023 7:45:32 PM,cdfw_frpmt,,0,0
41,2cfbf1d4-3807-4390-81bb-290a08116743,19C101552,,Continuous,Pre,12/15/2022 7:31:00 PM,12/13/2022 11:40:00 PM,other,turb_124,21L21430190,11/1/2022 7:00:00 PM,10/24/2022 7:00:00 PM,,,,,spc_other,,,,,,,,,,,,,12890,VWR A8249,3/1/2020 7:00:00 PM,12/13/2022 7:00:00 PM,,,,,,,,,,,rhod_none,,,,fdom_none,,,,1.6,-0.01,0,,,0.07,0,,,0.05,0,,,-0.06,0,123.7,124,13011.1,12890,5.2,,,,,,,,,,,,,,,,101.4,100.3,9.08,1.01,20.303,763.8,,7/6/2023 7:51:23 PM,cdfw_frpmt,7/6/2023 7:51:23 PM,cdfw_frpmt,Conductivity cell wasn't totally dry when measuring in Air; Phycocyanin was registering 0.4 RFU in the bucket on day of Deployment,0,0
42,46e06e8c-6f7e-41e1-83fa-697457d9a156,19C101551,,Continuous,Pre,12/12/2022 5:58:00 PM,12/12/2022 3:46:00 AM,other,turb_124,21L21430190,11/1/2022 7:00:00 PM,10/24/2022 7:00:00 PM,,,,,spc_other,,,,,,,,,,,,,1413,Oakton #CC21863,10/1/2022 7:00:00 PM,12/11/2022 7:00:00 PM,,,,,,,,,,,rhod_none,,,,fdom_none,,,,0.8,0.02,0,,,0.02,0,,,0.2,0,,,0.07,0,124.11,124,1405.8,1413,5.27,,,,,,,,,,,,,,,,97.3,99.3,9.75,1.07,16.185,753.5,,7/6/2023 7:55:51 PM,cdfw_frpmt,7/6/2023 7:55:51 PM,cdfw_frpmt,,0,0
43,305b741c-8226-40f1-88b7-ab357ef085a8,19C101551,,Continuous,Post,2/6/2023 6:22:00 PM,2/7/2023 9:13:00 PM,"NIST_Thermometer_221949308_(Due,Barometer_210822350",turb_124,21L21430190,11/1/2022 7:00:00 PM,12/16/2022 7:00:00 PM,,,,,spc_other,,,,,,,,,,,,,1413,Oakton #CC21863,10/1/2022 7:00:00 PM,2/7/2023 7:00:00 PM,,,,,,,,,,,rhod_none,,,,fdom_none,,,,0.7,0,0,,,-0.01,0,,,-0.28,0,,,0.22,0,124.04,124,1423.4,1413,5.23,,,,,,,,,,,,,,27.977,27.834,103.4,100,9.02,1.03,20.371,760,769,7/6/2023 8:04:16 PM,cdfw_frpmt,7/6/2023 8:04:16 PM,cdfw_frpmt,DO values for botched calibration using 760 as the pressure; The calibration was then done at 768.2 and had 100 pre-cal 100.8 post cal 9.11mgL and 1.04gain,0,0
44,d046d84d-6d8e-47b0-8ab1-e04e1f0019d0,19C101552,,Continuous,Post,2/6/2023 8:57:00 PM,2/7/2023 11:20:00 PM,"NIST_Thermometer_221949308_(Due,Barometer_210822350",turb_124,21L21430190,11/1/2022 7:00:00 PM,12/16/2022 7:00:00 PM,,,,,spc_other,,,,,,,,,,,,,1413,Oakton #CC21863,10/1/2022 7:00:00 PM,2/7/2023 7:00:00 PM,,,,,,,,,,,rhod_none,,,,fdom_none,,,,-0.1,0.01,0,,,-0.01,0,,,0.04,0,,,0.05,0,124.38,124,1399.4,1413,5.25,,,,,,,,,,,,,,27.57,27.551,98.5,101.1,9.14,1.03,20.199,768.2,769,7/6/2023 8:09:24 PM,cdfw_frpmt,7/6/2023 8:09:24 PM,cdfw_frpmt,,0,0
