ObjectID,GlobalID,Sonde ID,Other SondeID,Discrete or Continuous Deployment,Pre- or Post-Deployment,Deployment Start/Stop Time,Calibration Date and Time,Verification Instruments,Which Turbidity standard?,Lot #,Expiration Date,Open Date,Turbidity Standard concentration,Lot #,Expiration Date,Open Date,Which SPC standard?,Lot #,Expiration Date,Open Date,Lot #,Expiration Date,Open Date,Lot #,Expiration Date,Open Date,Lot #,Expiration Date,Open Date,SpC Standard concentration,Lot #,Expiration Date,Open Date,Which pH standard?,Lot #,Expiration Date,Open Date,Lot #,Expiration Date,Open Date,Lot #,Expiration Date,Open Date,Which Rhodamine standard?,Lot #,Expiration Date,Open Date,Which fDOM standard?,Lot #,Expiration Date,Open Date,Specific Conductivity in Air,fDOM in DI (pre-cal RFU),fDOM in DI (post-cal RFU),fDOM in standard (pre-cal RFU),fDOM in standard (post-cal RFU),fDOM in DI (pre-cal QSU),fDOM in DI (post-cal QSU),fDOM in standard (pre-cal QSU),fDOM in standard (post-cal QSU),Chl in DI (pre-cal RFU),Chl in DI (post-cal RFU),Chl in rhodamine (pre-cal RFU),Chl in rhodamine (post-cal RFU),Chl in DI (pre-cal ug/L),Chl in DI (post-cal ug/L),Chl in rhodamine (pre-cal ug/L),Chl in rhodamine (post-cal ug/L),PC in DI (pre-cal RFU),PC in DI (post-cal RFU),PC in rhodamine (pre-cal RFU),PC in rhodamine (post-cal RFU),PC in DI (pre-cal ug/L),PC in DI (post-cal ug/L),PC in rhodamine (pre-cal ug/L),PC in rhodamine (post-cal ug/L),Turbidity in DI (pre-cal),Turbidity in DI (post-cal),Turbidity in standard (pre-cal),Turbidity in standard (post-cal),SpC in standard (pre-cal),SpC in standard (post-cal),SpC cell constant,pH in 7 (pre-cal),pH in 7 (post-cal),pH in 7 voltage,pH in 10 (pre-cal),pH in 10 (post-cal),pH in 10 voltage,pH in 4 (pre-cal),pH in 4 (post-cal),pH in 4 voltage,Delta slope (4 to 7),Delta slope (4 to 7),Delta slope (7 to 10),Delta slope (7 to 10),Temperature (NIST),Temperature (sonde),Pressure from handheld,Pressure from barometer,DO concentration (pre-cal),DO concentration (post-cal),DO percent (pre-cal),DO percent (post-cal),DO gain,Temperature during DO calibration,Notes,CreationDate,Creator,EditDate,Editor,x,y
24,e9547444-2afe-4cea-8f46-3d83b8c0c180,19C101551,,Continuous,Pre,5/8/2024 4:01:00 AM,5/6/2024 2:19:00 PM,NIST_Thermometer_221949308_(Due,turb_124,23E24001726,5/1/2024 7:00:00 AM,4/9/2024 7:00:00 PM,,,,,spc_1412,2301C75,12/1/2024 8:00:00 AM,2/2/2024 8:00:00 PM,,,,,,,,,,,,,,,,,,,,,,,,rhod_none,,,,fdom_none,,,,1.1,0,0,,,0.2,0,,,0.01,0,,,0.09,0.02,,,0.08,0,,,0.1,0.01,,,0.01,0,124.01,124,1414.9,1412,5.28,,,,,,,,,,,,,,17.097,17.083,762.1,,9.62,9.67,99.7,100.2,1.01,17.083,Updated firmware; battery 100.0%,5/6/2024 4:13:27 PM,cdfw_frpmt,5/6/2024 4:13:27 PM,cdfw_frpmt,-121.282668952012,38.6136411410185
25,b86cd4a5-048c-4bde-aeb7-5b57d25cbb43,19C101553,,Continuous,Post,5/7/2024 3:30:00 PM,5/8/2024 10:46:00 PM,NIST_Thermometer_221949308_(Due,turb_124,23E24001726,5/1/2024 7:00:00 AM,4/4/2024 7:00:00 PM,,,,,spc_1412,2301C75,12/1/2024 8:00:00 AM,5/8/2024 7:00:00 PM,,,,,,,,,,,,,,,,,,,,,,,,rhod_none,,,,fdom_none,,,,0.1,-0.04,0,,,-0.05,0,,,0,0,,,-0.03,-0.02,,,-0.07,0,,,-0.07,0,,,0.03,0,124.15,124,1426.3,1412,5.27,,,,,,,,,,,,,,19.221,19.251,753.7,,9.16,9.16,99.3,99.1,1.08,19.253,Updated firmware after calibration,5/9/2024 12:24:10 AM,cdfw_frpmt,5/9/2024 12:24:10 AM,cdfw_frpmt,-121.282599414534,38.6136802351126
26,4204a071-6557-47df-81cb-d5280f6db8f3,18D101027,,Discrete,,5/9/2024 3:14:00 PM,5/8/2024 11:14:00 PM,NIST_Thermometer_221949308_(Due,turb_124,23E24001726,5/1/2024 7:00:00 AM,,,,,,spc_10000,,,,2302L74,2/1/2025 8:00:00 AM,2/2/2024 8:00:00 PM,,,,,,,,,,,"pH_7,pH_4,pH_10",2210GG42,10/1/2024 7:00:00 AM,3/19/2023 7:00:00 PM,4211B46,4/1/2024 7:00:00 AM,3/19/2023 7:00:00 PM,4212E38,11/1/2024 7:00:00 AM,4/2/2023 7:00:00 PM,rhod_none,,,,fdom_none,,,,0,-0.01,0,,,0.05,0,,,0,0,,,,,,,-0.01,0,,,,,,,-0.03,0,123.79,124,10009.7,10000,5.23,7.04,7,-23.2,9.97,10,-191,3.99,3.98,150.9,174.1,58.03,167.77,55.92,19.194,19.24,753.7,,9.12,9.15,98.8,99.2,1.09,19.257,Updated firmware before calibration,5/9/2024 12:24:10 AM,cdfw_frpmt,5/9/2024 12:24:10 AM,cdfw_frpmt,-121.282621359263,38.6136839221393
27,5f64c024-1065-4334-a2ed-2e6bf5313c60,18D101365,,Discrete,,5/20/2024 2:33:00 PM,5/19/2024 11:13:00 PM,NIST_Thermometer_221949308_(Due,turb_124,23E24001726,5/1/2024 7:00:00 AM,4/4/2024 7:00:00 PM,,,,,spc_1412,2312E37,11/1/2025 7:00:00 AM,5/9/2024 7:00:00 PM,,,,,,,,,,,,,,"pH_7,pH_4,pH_10",2210GG42,10/1/2024 7:00:00 AM,3/19/2023 7:00:00 PM,4211B46,4/1/2024 7:00:00 AM,3/19/2023 7:00:00 PM,4212E38,11/1/2024 7:00:00 AM,4/2/2023 7:00:00 PM,rhod_none,,,,fdom_none,,,,0.1,-0.02,0,,,-0.05,0,,,0,0,,,-0.01,-0.02,,,-0.06,0,,,-0.03,0,,,-0.02,0,124.36,124,1419.5,1412,5.22,7.08,7,-26.9,9.97,10,-196,4.04,3.97,150.6,177.41,59.14,169.19,56.4,19.101,19.082,754.9,,9.23,9.19,99.7,99.3,1.05,19.089,,5/20/2024 12:48:25 AM,cdfw_frpmt,5/20/2024 12:48:25 AM,cdfw_frpmt,-121.282658463479,38.6136703809835
28,ffec9bb9-cc1a-4059-a2be-cd49c7c29ecc,18D101027,,Discrete,,5/20/2024 2:33:00 PM,5/19/2024 10:33:00 PM,NIST_Thermometer_221949308_(Due,turb_124,23E24001726,5/1/2024 7:00:00 AM,4/4/2024 7:00:00 PM,,,,,spc_1412,2312E37,11/1/2025 7:00:00 AM,5/9/2024 7:00:00 PM,,,,,,,,,,,,,,"pH_7,pH_4,pH_10",2210GG42,10/1/2024 7:00:00 AM,3/19/2023 7:00:00 PM,4211B46,4/1/2024 7:00:00 AM,3/19/2023 7:00:00 PM,4212E38,11/1/2024 7:00:00 AM,4/2/2023 7:00:00 PM,rhod_none,,,,fdom_none,,,,0,0.02,0,,,-0.06,0,,,0.03,0,,,-0.03,-0.01,,,0,0,,,-0.1,0,,,-0.03,0,124.37,124,1413.7,1412,5.23,7.09,7,-26.2,9.99,10,-192.6,3.97,3.97,152.5,178.68,59.56,166.37,55.46,19.143,19.196,755,,9.24,9.18,100,99.4,1.09,19.204,,5/20/2024 12:52:48 AM,cdfw_frpmt,5/20/2024 12:52:48 AM,cdfw_frpmt,-121.282652446817,38.6136665286401
29,f077ad97-5f03-4540-b877-f35e21c50427,19C101553,,Continuous,Pre,6/6/2024 4:04:00 PM,6/4/2024 2:03:00 PM,NIST_Thermometer_221949308_(Due,turb_124,23E24001726,5/1/2024 7:00:00 AM,4/4/2024 7:00:00 PM,,,,,spc_1412,4401G04,12/1/2025 8:00:00 AM,4/18/2024 7:00:00 PM,,,,,,,,,,,,,,,,,,,,,,,,rhod_none,,,,fdom_none,,,,0.1,-0.04,0,,,-0.03,-0.01,,,0,0,,,0,0,,,-0.13,0,,,-0.12,0,,,0.03,0,124.33,124,1405.6,1412,5.3,,,,,,,,,,,,,,20.264,20.287,755.5,,9.01,8.99,99.7,99.3,1.08,20.31,,6/4/2024 9:49:11 PM,cdfw_frpmt,6/4/2024 9:49:11 PM,cdfw_frpmt,-121.241662605035,37.9068115879709
30,09b063b7-7997-4244-a872-68dc2e49c794,19C101554,,Continuous,Pre,6/6/2024 4:14:00 PM,6/4/2024 2:07:00 PM,NIST_Thermometer_221949308_(Due,turb_124,23E24001726,5/1/2024 7:00:00 AM,4/4/2024 7:00:00 PM,,,,,spc_1412,4401G04,12/1/2025 8:00:00 AM,4/18/2024 7:00:00 PM,,,,,,,,,,,,,,,,,,,,,,,,rhod_none,,,,fdom_none,,,,0.4,-0.07,0,,,-0.1,0,,,-0.02,0,,,-0.15,-0.01,,,-0.12,0,,,-0.12,0,,,-0.06,0,124.32,124,1420.7,1412,5.27,,,,,,,,,,,,,,20.274,20.256,755.5,,9.01,8.98,99.8,99.4,1.06,20.284,,6/4/2024 9:52:50 PM,cdfw_frpmt,6/4/2024 9:52:50 PM,cdfw_frpmt,-121.24165011993,37.9067659496165
31,81b49acd-7888-4c0e-b660-10b73dc952cb,18D101027,,Discrete,,6/6/2024 3:16:00 PM,6/4/2024 3:18:00 PM,NIST_Thermometer_221949308_(Due,turb_124,23E24001726,5/1/2024 7:00:00 AM,4/4/2024 7:00:00 PM,,,,,spc_1412,4401G04,12/1/2025 8:00:00 AM,4/18/2024 7:00:00 PM,,,,,,,,,,,,,,"pH_7,pH_4,pH_10",4310H23,10/1/2025 7:00:00 AM,6/4/2024 7:00:00 PM,1309L50,3/1/2025 8:00:00 AM,6/4/2024 7:00:00 PM,4212E38,11/1/2024 7:00:00 AM,6/4/2024 7:00:00 PM,rhod_none,,,,fdom_none,,,,0.1,0.09,0,,,,,,,0,0,,,,,,,0,0,,,,,,,-0.04,0,123.83,124,1408.2,1412,5.24,7.01,7,-22.6,9.95,10,-191.5,3.9,3.97,155.2,177.82,59.27,168.9,56.3,20.265,20.319,755.4,,8.98,8.98,99.5,99.4,1.05,20.31,Used new pH standards for first time,6/4/2024 9:59:26 PM,cdfw_frpmt,7/2/2024 7:07:54 PM,cdfw_frpmt,-121.241639754985,37.9068476055218
32,ed2b84d0-f7a8-403c-8754-ae55844f329f,18D101365,,Discrete,,6/6/2024 3:16:00 PM,6/4/2024 3:17:00 PM,NIST_Thermometer_221949308_(Due,turb_124,23E24001726,5/1/2024 7:00:00 AM,4/4/2024 7:00:00 PM,,,,,spc_10000,,,,2302L74,2/1/2025 8:00:00 AM,2/2/2024 8:00:00 PM,,,,,,,,,,,"pH_7,pH_4,pH_10",2210GG42,10/1/2024 7:00:00 AM,3/19/2023 7:00:00 PM,1309L50,3/1/2025 8:00:00 AM,6/4/2024 7:00:00 PM,4310E71,9/1/2025 7:00:00 AM,6/4/2024 7:00:00 PM,rhod_none,,,,fdom_none,,,,0.2,-0.08,0,,,,,,,0.01,0,,,,,,,0.02,0,,,,,,,-0.08,0,123.65,124,9961,10000,5.24,7.03,7,-25.9,9.94,10,-193.1,3.9,3.96,154.3,180.17,60.06,167.24,55.75,20.276,20.27,755.5,,8.97,8.99,99.2,99.4,1.05,20.288,Used new pH standards for first time. Sonde1 was sent prematurely with wrong calibration for DO,6/4/2024 10:52:58 PM,cdfw_frpmt,6/4/2024 10:52:58 PM,cdfw_frpmt,-121.241661213425,37.9068180604493
33,41b664ca-bbe1-4813-b411-c843221dc36d,19C101552,,Continuous,Post,6/6/2024 5:35:00 PM,6/6/2024 10:48:00 PM,NIST_Thermometer_221949308_(Due,turb_124,23E24001726,5/1/2024 7:00:00 AM,4/4/2024 7:00:00 PM,,,,,spc_1412,4401G04,12/1/2025 8:00:00 AM,4/18/2024 7:00:00 PM,,,,,,,,,,,,,,,,,,,,,,,,rhod_none,,,,fdom_none,,,,1.1,-0.02,0,,,-0.28,0,,,-0.02,0,,,-0.04,0,,,-0.19,0,,,-0.32,0,,,-0.04,0,124.45,124,1417.3,1412,5.3,,,,,,,,,,,,,,19.821,19.858,753.1,,9.06,9.02,99.4,99.1,1.07,19.88,,6/6/2024 11:46:11 PM,cdfw_frpmt,6/6/2024 11:46:11 PM,cdfw_frpmt,-121.241631846913,37.9067407370558
34,07eb4cd9-a4d6-4191-b2e4-8eaf3b19f068,19C101551,,Continuous,Post,6/6/2024 3:40:00 PM,6/6/2024 10:48:00 PM,NIST_Thermometer_221949308_(Due,turb_124,23E24001726,5/1/2024 7:00:00 AM,4/4/2024 7:00:00 PM,,,,,spc_1412,4401G04,12/1/2025 8:00:00 AM,4/18/2024 7:00:00 PM,,,,,,,,,,,,,,,,,,,,,,,,rhod_none,,,,fdom_none,,,,0,-0.08,0,,,-0.29,0,,,0,0,,,0.02,0,,,-0.12,0,,,-0.09,0,,,-0.05,0,124.49,124,1419.2,1412,5.26,,,,,,,,,,,,,,19.824,19.853,753.1,,9.03,9.03,99.1,99,1.07,19.881,,6/6/2024 11:48:04 PM,cdfw_frpmt,6/6/2024 11:48:04 PM,cdfw_frpmt,-121.241482271092,37.9068084407953
35,9c35dc88-28a2-4467-bf47-6cf79ac84e9b,19C101659,,Discrete,Pre,7/3/2024 7:00:00 PM,7/2/2024 8:43:00 PM,NIST_Thermometer_221949308_(Due,turb_124,24E24012156,5/1/2025 7:00:00 AM,7/2/2024 7:00:00 PM,,,,,spc_10000,,,,2302L74,2/1/2025 8:00:00 AM,,,,,,,,,,,,"pH_7,pH_4,pH_10",4310H23,10/1/2025 7:00:00 AM,6/4/2024 7:00:00 PM,1309L50,3/1/2025 8:00:00 AM,6/4/2024 7:00:00 PM,4310E71,9/1/2025 7:00:00 AM,6/4/2024 7:00:00 PM,rhod_none,,,,fdom_none,,,,0.3,-0.03,0,,,-0.33,0,,,-0.01,0,,,0.02,0,,,0.02,0,,,0.01,0,,,0.02,0,112.37,124,10019.2,10000,5.23,7.5,7,-28.9,10.38,10,-196.7,4.39,3.96,152,180.87,60.29,167.76,55.92,19.832,19.833,753.2,,9.02,9.05,98.9,99.1,1.05,19.822,Brand new bottle of turbidity standard. Restored pH sensor to factory settings prior to calibration,7/3/2024 12:12:06 AM,cdfw_frpmt,7/3/2024 12:12:06 AM,cdfw_frpmt,-121.241626809209,37.9068334416732
36,632618f3-63f7-4d4b-94ff-3a64481c6f3c,18D101027,,Discrete,,7/3/2024 7:00:00 PM,7/2/2024 8:08:00 PM,NIST_Thermometer_221949308_(Due,turb_124,24E24012156,5/1/2025 7:00:00 AM,7/2/2024 7:00:00 PM,,,,,spc_1412,4401G04,12/1/2025 8:00:00 AM,4/18/2024 7:00:00 PM,,,,,,,,,,,,,,"pH_7,pH_4,pH_10",4310H23,10/1/2025 7:00:00 AM,6/4/2024 7:00:00 PM,1309L50,3/1/2025 8:00:00 AM,6/4/2024 7:00:00 PM,4310E71,9/1/2025 7:00:00 AM,6/4/2024 7:00:00 PM,rhod_none,,,,fdom_none,,,,0,0.02,0,,,0.29,0,,,-0.01,0,,,0,0,,,-0.05,0,,,-0.01,0,,,0,0,112.28,124,1413.5,1412,5.23,7.51,7,-29.5,10.39,10,-197.1,4.46,3.97,147.8,177.3,59.1,167.63,55.88,19.834,19.871,753.2,,9.06,9.01,99.4,98.9,1.09,19.862,Brand new bottle of turbidity standard. Restore pH sensor to factory settings prior to calibration,7/3/2024 12:17:16 AM,cdfw_frpmt,7/3/2024 12:17:16 AM,cdfw_frpmt,-121.241609871885,37.9068530271977
37,c455e77e-992b-44c7-af04-4c8bd567943f,19C101551,,Continuous,Pre,7/3/2024 7:00:00 PM,7/2/2024 7:10:00 PM,NIST_Thermometer_221949308_(Due,turb_124,24E24012156,5/1/2025 7:00:00 AM,7/2/2024 7:00:00 PM,,,,,spc_1412,4401G04,12/1/2025 8:00:00 AM,4/18/2024 7:00:00 PM,,,,,,,,,,,,,,,,,,,,,,,,rhod_none,,,,fdom_none,,,,1.2,0.17,0,,,0.63,0.01,,,-0.02,0,,,-0.12,0.02,,,0,0,,,-0.01,0,,,0.01,0,112.56,124,1413.7,1412,5.25,,,,,,,,,,,,,,19.798,19.752,753.2,,9.14,9.05,100.1,99.1,1,19.754,Brand new bottle of turbidity standard,7/3/2024 12:22:35 AM,cdfw_frpmt,7/3/2024 12:22:35 AM,cdfw_frpmt,-121.241533646095,37.9067921521557
38,377833b2-695b-4993-8428-0170d1d0e390,19C101552,,Continuous,Pre,7/3/2024 7:00:00 PM,7/2/2024 7:46:00 PM,NIST_Thermometer_221949308_(Due,turb_124,24E24012156,5/1/2025 7:00:00 AM,7/2/2024 7:00:00 PM,,,,,spc_10000,,,,2302L74,2/1/2025 8:00:00 AM,2/2/2024 8:00:00 PM,,,,,,,,,,,,,,,,,,,,,rhod_none,,,,fdom_none,,,,0,-0.01,0,,,0,-0.01,,,-0.01,0,,,0.07,0,,,-0.06,0,,,-0.09,0,,,0.05,0,112.43,124,10005.1,9999.9,5.3,,,,,,,,,,,,,,19.789,19.829,753.2,,9.07,9.05,99.5,99.2,1.07,19.832,Brand new bottle of turbidity standard,7/3/2024 12:27:19 AM,cdfw_frpmt,7/3/2024 12:27:19 AM,cdfw_frpmt,-121.241596973325,37.9068252710936
39,4d96f9d8-cadb-4a3f-9352-a403f06d2404,19C101554,,Continuous,Post,7/4/2024 3:15:00 AM,7/3/2024 7:51:00 PM,NIST_Thermometer_221949308_(Due,turb_124,23E24001726,5/1/2024 7:00:00 AM,4/9/2024 7:00:00 PM,,,,,spc_1412,4401G04,12/1/2025 8:00:00 AM,4/18/2024 7:00:00 PM,,,,,,,,,,,,,,,,,,,,,,,,rhod_none,,,,fdom_none,,,,0.6,0.01,0,,,-0.08,0,,,0.03,0,,,0.1,0.01,,,0.08,0,,,0.06,-0.01,,,-0.03,0,124.05,123.99,1412,1412,5.27,,,,,,,,,,,,,,19.871,19.915,756.1,,9.06,9.06,99.5,99.5,1.06,19.916,,7/3/2024 8:28:07 PM,cdfw_frpmt,7/3/2024 8:28:07 PM,cdfw_frpmt,-121.241545628507,37.9068709153365
40,91a4d53c-3e41-421e-8449-45a6495e698a,19C101553,,Continuous,Post,7/11/2024 3:11:00 PM,7/11/2024 7:00:37 PM,NIST_Thermometer_221949308_(Due,turb_124,23E24001726,5/1/2024 7:00:00 AM,4/9/2024 7:00:00 PM,,,,,spc_1412,4401G04,12/1/2025 8:00:00 AM,4/18/2024 7:00:00 PM,,,,,,,,,,,,,,,,,,,,,,,,rhod_none,,,,fdom_none,,,,0.2,0.03,0,,,-0.09,0,,,-0.02,0,,,0.06,0,,,-0.01,0,,,-0.01,0,,,0.02,0,124.19,124,1416.9,1412,5.28,,,,,,,,,,,,,,21.024,21.055,755.8,,8.78,8.85,98.7,99.4,1.09,21.094,,7/11/2024 7:33:49 PM,cdfw_frpmt,7/11/2024 7:33:49 PM,cdfw_frpmt,-121.241579403219,37.9068673862874
41,af6611b0-37a6-409f-8ec9-f09ff7fc4aa1,19C101659,,Discrete,,7/18/2024 3:26:00 PM,7/18/2024 4:15:00 PM,NIST_Thermometer_221949308_(Due,turb_124,24E24012156,5/1/2025 7:00:00 AM,7/2/2024 7:00:00 PM,,,,,spc_20000,,,,,,,2301C69,12/1/2024 8:00:00 AM,7/18/2024 7:00:00 PM,,,,,,,,"pH_7,pH_4,pH_10",4310H23,10/1/2025 7:00:00 AM,6/4/2024 7:00:00 PM,1309L50,3/1/2025 8:00:00 AM,6/4/2024 7:00:00 PM,4310E71,9/1/2025 7:00:00 AM,6/4/2024 7:00:00 PM,rhod_none,,,,fdom_none,,,,0.2,0.01,0,,,0,0,,,-0.01,0,,,0.01,0,,,-0.03,0,,,0,0,,,0.02,0,123.5,124,20010,19999.9,5.23,7.07,7,-28.8,9.98,10,-197.8,3.98,3.97,151.1,179.93,59.98,169,56.33,22.073,22.04,759.3,,8.74,8.73,100.1,100,1.05,22.038,,7/18/2024 5:58:03 PM,cdfw_frpmt,7/18/2024 5:58:03 PM,cdfw_frpmt,-121.241525597004,37.9068024355925
42,ddf82eb2-b950-413d-bf8c-1da2458051de,18D101027,,Discrete,,7/18/2024 3:26:00 PM,7/18/2024 3:29:00 PM,NIST_Thermometer_221949308_(Due,turb_124,24E24012156,5/1/2025 7:00:00 AM,7/2/2024 7:00:00 PM,,,,,spc_20000,,,,,,,2301C69,12/1/2024 8:00:00 AM,7/18/2024 7:00:00 PM,,,,,,,,"pH_7,pH_4,pH_10",4310H23,10/1/2025 7:00:00 AM,6/4/2024 7:00:00 PM,1309L50,3/1/2025 8:00:00 AM,6/4/2024 7:00:00 PM,4310E71,9/1/2025 7:00:00 AM,6/4/2024 7:00:00 PM,rhod_none,,,,fdom_none,,,,0,0.02,0,,,0.08,0,,,0.02,0,,,0.07,0.02,,,0.01,0,,,0.01,0,,,-0.03,0,123.56,124,20036,20000,5.23,7.04,7,-28.8,9.93,10,-195.1,3.86,3.95,154.4,183.24,61.08,166.3,55.43,22.075,22.102,759.2,,8.75,8.72,100.1,99.9,1.09,22.07,pH module needs replacement,7/18/2024 6:01:43 PM,cdfw_frpmt,7/18/2024 6:01:43 PM,cdfw_frpmt,-121.241619914781,37.90678913878
43,0a019532-c78a-4d28-b43d-509da631ccac,19C101554,,Continuous,Pre,7/31/2024 5:31:00 PM,7/30/2024 2:37:00 PM,NIST_Thermometer_221949308_(Due,turb_124,24E24012156,5/1/2025 7:00:00 AM,,,,,,spc_1412,2312E37,11/1/2025 7:00:00 AM,5/24/2023 7:00:00 PM,,,,,,,,,,,,,,,,,,,,,,,,rhod_none,,,,fdom_none,,,,0.1,0.1,0,,,0.3,-0.01,,,-0.01,0,,,-0.07,-0.01,,,-0.03,0,,,0.01,0,,,0,0,112.07,123.99,1419.1,1412,5.24,,,,,,,,,,,,,,21.628,21.663,757.6,,8.78,8.77,98.8,99.6,1.06,21.658,First time using turbidity lot,7/31/2024 1:57:37 PM,cdfw_frpmt,7/31/2024 1:57:37 PM,cdfw_frpmt,-121.241601982914,37.9068719235028
44,b09f8489-3f63-46fa-88b9-4376a348b3af,19C101553,,Continuous,Pre,7/31/2024 2:31:00 PM,7/30/2024 2:55:00 PM,NIST_Thermometer_221949308_(Due,turb_124,24E24012156,5/1/2025 7:00:00 AM,,,,,,spc_1412,2312E37,11/1/2025 7:00:00 AM,5/24/2023 7:00:00 PM,,,,,,,,,,,,,,,,,,,,,,,,rhod_none,,,,fdom_none,,,,0.5,-0.08,0,,,-0.22,0,,,0.02,0,,,0.02,0,,,-0.08,0,,,-0.05,0,,,-0.13,0,111.48,124,1413.1,1412,5.27,,,,,,,,,,,,,,21.689,21.71,757.8,,8.94,8.76,101.7,99.7,1.07,21.724,Used New turbidity standard,7/31/2024 2:09:39 PM,cdfw_frpmt,7/31/2024 2:09:39 PM,cdfw_frpmt,-121.241623500567,37.9068352471269
45,238ba14b-a491-43fc-970f-1259bb60aa1f,19C101659,,Continuous,Pre,7/31/2024 2:31:00 PM,7/30/2024 6:55:00 PM,NIST_Thermometer_221949308_(Due,turb_124,24E24012156,5/1/2025 7:00:00 AM,,,,,,spc_1412,2312E37,11/1/2025 7:00:00 AM,5/24/2023 7:00:00 PM,,,,,,,,,,,,,,"pH_7,pH_4,pH_10",4310H23,10/1/2025 7:00:00 AM,6/4/2024 7:00:00 PM,1309L50,3/1/2025 8:00:00 AM,6/4/2024 7:00:00 PM,4310E71,9/1/2025 7:00:00 AM,5/4/2024 7:00:00 PM,rhod_none,,,,fdom_none,,,,0.5,0.15,0,,,0.52,0.01,,,-0.01,0,,,0.02,0,,,-0.01,0,,,-0.02,0,,,0.03,-0.01,124.05,124,1418.4,1412,5.2,7.15,7,-34,10.03,10,-210.6,4.12,3.97,142.8,176.74,58.91,167.61,58.87,21.437,21.417,757.6,,8.82,8.81,99.8,99.8,1.05,21.452,Performed pH calibration on 20240806,8/6/2024 11:03:29 PM,cdfw_frpmt,8/6/2024 11:03:29 PM,cdfw_frpmt,-121.24158901265,37.9068026521236
46,99290992-5939-4d39-8161-423ce208a3cb,18D101027,,Continuous,Pre,7/31/2024 2:31:00 PM,7/30/2024 7:12:00 PM,NIST_Thermometer_221949308_(Due,turb_124,24E24012156,5/1/2025 7:00:00 AM,,,,,,spc_1412,2312E37,11/1/2025 7:00:00 AM,5/24/2023 7:00:00 PM,,,,,,,,,,,,,,"pH_7,pH_4,pH_10",4310H23,10/1/2025 7:00:00 AM,6/4/2024 7:00:00 PM,1309L50,3/1/2025 8:00:00 AM,6/4/2024 7:00:00 PM,4310E71,9/1/2025 7:00:00 AM,6/4/2024 7:00:00 PM,rhod_none,,,,fdom_none,,,,,-0.03,0,,,-0.13,0,,,-0.02,0,,,0.1,-0.02,,,0.01,0,,,-0.02,0,,,0.08,0,124.24,124,1414.5,1412,5.22,7.25,7,-37.9,10.05,10,-201.2,4.06,3.94,148.4,186.29,62.1,163.36,54.54,21.416,21.647,757.6,,8.78,8.8,99.5,99.6,1.09,21.506,Performed pH calibration on 20240806 and got a Red QC so must be replaced,8/6/2024 11:04:45 PM,cdfw_frpmt,8/6/2024 11:04:45 PM,cdfw_frpmt,-121.24160800933,37.9067633248017
47,5d86e390-4bfa-45d6-a635-abf204270bdd,19C101552,,Continuous,Post,7/31/2024 2:31:00 PM,7/31/2024 10:20:00 PM,NIST_Thermometer_221949308_(Due,turb_124,24E24012156,5/1/2025 7:00:00 AM,,,,,,spc_1412,2312E37,11/1/2025 7:00:00 AM,5/24/2023 7:00:00 PM,,,,,,,,,,,,,,,,,,,,,,,,rhod_none,,,,fdom_none,,,,0,0,0,,,-0.06,0,,,-0.01,0,,,-0.11,-0.01,,,-0.08,0,,,-0.09,0,,,-0.01,0,124.09,124,1411.4,1412.2,5.3,,,,,,,,,,,,,,20.162,20.187,756.4,,9.09,9.01,100.5,99.4,1.07,20.2,,8/6/2024 11:05:21 PM,cdfw_frpmt,8/6/2024 11:05:21 PM,cdfw_frpmt,-121.241530940206,37.9068431607909
48,1cd52ef7-7a02-4cb6-948d-83a1bb93078b,19C101551,,Continuous,Post,7/31/2024 2:31:00 PM,7/31/2024 11:00:00 PM,NIST_Thermometer_221949308_(Due,turb_124,24E24012156,5/1/2025 7:00:00 AM,,,,,,spc_1412,2312E37,11/1/2025 7:00:00 AM,5/24/2023 7:00:00 PM,,,,,,,,,,,,,,,,,,,,,,,,rhod_none,,,,fdom_none,,,,1,-0.05,0,,,-0.27,0,,,0.02,0,,,0,-0.01,,,0.01,0,,,-0.01,0,,,0.02,0,124.07,124,1407.9,1412,5.27,,,,,,,,,,,,,,20.159,20.132,756.4,,9.04,9.02,99.7,99.5,0.99,20.125,,8/6/2024 11:05:59 PM,cdfw_frpmt,8/6/2024 11:05:59 PM,cdfw_frpmt,-121.241608027024,37.9068731520789
49,6680ebd6-cdd9-46d6-a473-e27ae9804033,18D101027,,Discrete,,7/18/2024 3:26:00 PM,10/1/2024 7:38:00 PM,NIST_Thermometer_221949308_(Due,turb_124,24E24012156,5/1/2025 7:00:00 AM,7/2/2024 7:00:00 PM,,,,,spc_1412,2312E37,11/1/2025 7:00:00 AM,5/24/2023 7:00:00 PM,,,,,,,,,,,,,,,,,,,,,,,,rhod_none,,,,fdom_none,,,,0.2,0.29,0,,,0.79,0,,,0.03,0,,,-0.03,0,,,-0.07,0,,,-0.03,0,,,-0.07,0,0,124,1406.5,1412,5.24,,,,,,,,,,,,,,20.693,20.125,759.3,659,8.86,8.9,99.2,99.5,1.1,21.018,,10/1/2024 10:28:06 PM,cdfw_frpmt,10/1/2024 10:28:06 PM,cdfw_frpmt,-121.241554911722,37.9067473528964
