Sonde,Date (MM/DD/YYYY),Time (HH:mm:ss),Site Name,Depth_m,DO_sat,DO_mgL,SPC,Turb_FNU,ph,ph_mv,TempC,Battery_V,Pressure_psi,VertPosit_m
21L101262,4/13/2022,10:45:00,TuleRed_Breach,1.972,90.5,9.16,8783.2,4822,7.6,-47.6,13.437,5.92,,
21L101262,4/13/2022,11:00:00,TuleRed_Breach,2.03,91.6,9.24,8966.8,1032.27,7.6,-47.6,13.577,5.93,,
21L101262,4/13/2022,11:15:00,TuleRed_Breach,2.065,90.4,9.08,9073.5,3794.76,7.6,-47.7,13.701,5.93,,
21L101262,4/13/2022,11:30:00,TuleRed_Breach,2.104,92.3,9.26,8942.1,3102.84,7.59,-47.3,13.801,5.92,,
21L101262,4/13/2022,11:45:00,TuleRed_Breach,2.124,90.7,9.07,9003.4,1317.4,7.59,-47.4,13.921,5.92,,
21L101262,4/13/2022,12:00:00,TuleRed_Breach,2.147,91.5,9.13,9014.9,1763.2,7.59,-47.3,14.05,5.92,,
21L101262,4/13/2022,12:15:00,TuleRed_Breach,2.148,88.3,8.78,8965.3,745.52,7.58,-46.9,14.189,5.92,,
21L101262,4/13/2022,12:30:00,TuleRed_Breach,2.155,89.4,8.86,8967,1139.29,7.58,-46.8,14.378,5.92,,
21L101262,4/13/2022,12:45:00,TuleRed_Breach,2.157,88.5,8.77,9081.9,1088.19,7.58,-46.7,14.399,5.92,,
21L101262,4/13/2022,13:00:00,TuleRed_Breach,2.142,87.1,8.61,9094.8,595.44,7.57,-46.4,14.442,5.92,,
21L101262,4/13/2022,13:15:00,TuleRed_Breach,2.115,84.9,8.4,9079.1,346.96,7.57,-46,14.447,5.93,,
21L101262,4/13/2022,13:30:00,TuleRed_Breach,2.067,94.1,9.28,9092.5,2538.52,7.57,-46.1,14.555,5.93,,
21L101262,4/13/2022,13:45:00,TuleRed_Breach,2.028,95.7,9.4,9237.3,16874.28,7.57,-46.4,14.716,5.92,,
21L101262,4/13/2022,14:00:00,TuleRed_Breach,1.962,97.9,9.53,8997.5,12890.67,7.61,-48.4,15.199,5.92,,
21L101262,4/13/2022,14:15:00,TuleRed_Breach,1.886,98.4,9.59,9058.3,1073.24,7.65,-50.6,15.151,5.93,,
21L101262,4/13/2022,14:30:00,TuleRed_Breach,1.822,99,9.63,8969.8,460.56,7.65,-50.9,15.238,5.92,,
21L101262,4/13/2022,14:45:00,TuleRed_Breach,1.752,98.3,9.62,8955.5,264.91,7.64,-50.4,14.961,5.93,,
21L101262,4/13/2022,15:00:00,TuleRed_Breach,1.66,98.4,9.65,8894.5,284.16,7.65,-50.6,14.866,5.92,,
21L101262,4/13/2022,15:15:00,TuleRed_Breach,1.589,98.3,9.67,9113.5,227.29,7.64,-50.2,14.713,5.92,,
21L101262,4/13/2022,15:30:00,TuleRed_Breach,1.513,98.1,9.68,9158.2,176,7.65,-50.5,14.563,5.92,,
21L101262,4/13/2022,15:45:00,TuleRed_Breach,1.449,98.4,9.7,9217.8,174.53,7.65,-50.6,14.559,5.92,,
21L101262,4/13/2022,16:00:00,TuleRed_Breach,1.377,98.4,9.71,9276.2,180.98,7.65,-50.5,14.48,5.93,,
21L101262,4/13/2022,16:15:00,TuleRed_Breach,1.33,98.6,9.73,9370.9,165.46,7.64,-50.1,14.511,5.92,,
21L101262,4/13/2022,16:30:00,TuleRed_Breach,1.274,98.6,9.72,9678.7,137,7.63,-49.4,14.487,5.92,,
21L101262,4/13/2022,16:45:00,TuleRed_Breach,1.233,98.8,9.73,9723,147.49,7.61,-48.6,14.524,5.92,,
21L101262,4/13/2022,17:00:00,TuleRed_Breach,1.186,99.5,9.77,9847.4,135.97,7.6,-47.9,14.619,5.92,,
21L101262,4/13/2022,17:15:00,TuleRed_Breach,1.146,99.9,9.8,10009.9,137.67,7.57,-46.5,14.652,5.92,,
21L101262,4/13/2022,17:30:00,TuleRed_Breach,1.104,100.4,9.83,10525.1,128.03,7.55,-45.2,14.674,5.92,,
21L101262,4/13/2022,17:45:00,TuleRed_Breach,1.077,100.7,9.85,10637.4,120.35,7.52,-43.7,14.698,5.92,,
